,Title,Authors,Abstract,Subject,DownloadURL
10,Parallel Sampling of Diffusion Models,"['Andy Shih', 'Suneel Belkhale', 'Stefano Ermon', 'Dorsa Sadigh', 'Nima Anari']","Abstract:  Diffusion models are powerful generative models but suffer from slow
sampling, often taking 1000 sequential denoising steps for one sample. As a
result, considerable efforts have been directed toward reducing the number of
denoising steps, but these methods hurt sample quality. Instead of reducing the
number of denoising steps (trading quality for speed), in this paper we explore
an orthogonal approach: can we run the denoising steps in parallel (trading
compute for speed)? In spite of the sequential nature of the denoising steps,
we show that surprisingly it is possible to parallelize sampling via Picard
iterations, by guessing the solution of future denoising steps and iteratively
refining until convergence. With this insight, we present ParaDiGMS, a novel
method to accelerate the sampling of pretrained diffusion models by denoising
multiple steps in parallel. ParaDiGMS is the first diffusion sampling method
that enables trading compute for speed and is even compatible with existing
fast sampling techniques such as DDIM and DPMSolver. Using ParaDiGMS, we
improve sampling speed by 2-4x across a range of robotics and image generation
models, giving state-of-the-art sampling speeds of 0.2s on 100-step
DiffusionPolicy and 16s on 1000-step StableDiffusion-v2 with no measurable
degradation of task reward, FID score, or CLIP score.

    ",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16317
11,UMat: Uncertainty-Aware Single Image High Resolution Material Capture,"['Carlos Rodriguez-Pardo', 'Henar Dominguez-Elvira', 'David Pascual-Hernandez', 'Elena Garces']","Abstract:  We propose a learning-based method to recover normals, specularity, and
roughness from a single diffuse image of a material, using microgeometry
appearance as our primary cue. Previous methods that work on single images tend
to produce over-smooth outputs with artifacts, operate at limited resolution,
or train one model per class with little room for generalization. Previous
methods that work on single images tend to produce over-smooth outputs with
artifacts, operate at limited resolution, or train one model per class with
little room for generalization. In contrast, in this work, we propose a novel
capture approach that leverages a generative network with attention and a U-Net
discriminator, which shows outstanding performance integrating global
information at reduced computational complexity. We showcase the performance of
our method with a real dataset of digitized textile materials and show that a
commodity flatbed scanner can produce the type of diffuse illumination required
as input to our method. Additionally, because the problem might be illposed
-more than a single diffuse image might be needed to disambiguate the specular
reflection- or because the training dataset is not representative enough of the
real distribution, we propose a novel framework to quantify the model's
confidence about its prediction at test time. Our method is the first one to
deal with the problem of modeling uncertainty in material digitization,
increasing the trustworthiness of the process and enabling more intelligent
strategies for dataset creation, as we demonstrate with an active learning
experiment.

    ",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Graphics (cs.GR); Machine Learning (cs.LG),https://arxiv.org/pdf/2305.16312
12,Fine-Grained Complexity Analysis of Multi-Agent Path Finding on 2D Grids,['Tzvika Geft'],"Abstract:  Multi-Agent Path Finding (MAPF) is a fundamental motion coordination problem
arising in multi-agent systems with a wide range of applications. The problem's
intractability has led to extensive research on improving the scalability of
solvers for it. Since optimal solvers can struggle to scale, a major challenge
that arises is understanding what makes MAPF hard. We tackle this challenge
through a fine-grained complexity analysis of time-optimal MAPF on 2D grids,
thereby closing two gaps and identifying a new tractability frontier. First, we
show that 2-colored MAPF, i.e., where the agents are divided into two teams,
each with its own set of targets, remains NP-hard. Second, for the flowtime
objective (also called sum-of-costs), we show that it remains NP-hard to find a
solution in which agents have an individually optimal cost, which we call an
individually optimal solution. The previously tightest results for these MAPF
variants are for (non-grid) planar graphs. We use a single hardness
construction that replaces, strengthens, and unifies previous proofs. We
believe that it is also simpler than previous proofs for the planar case as it
employs minimal gadgets that enable its full visualization in one figure.
Finally, for the flowtime objective, we establish a tractability frontier based
on the number of directions agents can move in. Namely, we complement our
hardness result, which holds for three directions, with an efficient algorithm
for finding an individually optimal solution if only two directions are
allowed. This result sheds new light on the structure of optimal solutions,
which may help guide algorithm design for the general problem.

    ",Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI); Computational Geometry (cs.CG); Robotics (cs.RO),https://arxiv.org/pdf/2305.16303
13,HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning,"['Chia-Wen Kuo', 'Zsolt Kira']","Abstract:  A great deal of progress has been made in image captioning, driven by
research into how to encode the image using pre-trained models. This includes
visual encodings (e.g. image grid features or detected objects) and more
recently textual encodings (e.g. image tags or text descriptions of image
regions). As more advanced encodings are available and incorporated, it is
natural to ask: how to efficiently and effectively leverage the heterogeneous
set of encodings? In this paper, we propose to regard the encodings as
augmented views of the input image. The image captioning model encodes each
view independently with a shared encoder efficiently, and a contrastive loss is
incorporated across the encoded views in a novel way to improve their
representation quality and the model's data efficiency. Our proposed
hierarchical decoder then adaptively weighs the encoded views according to
their effectiveness for caption generation by first aggregating within each
view at the token level, and then across views at the view level. We
demonstrate significant performance improvements of +5.6% CIDEr on MS-COCO and
+12.9% CIDEr on Flickr30k compared to state of the arts, and conduct rigorous
analyses to demonstrate the importance of each part of our design.

    ",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16295
14,Diversify Your Vision Datasets with Automatic Diffusion-Based Augmentation,"['Lisa Dunlap', 'Alyssa Umino', 'Han Zhang', 'Jiezhi Yang', 'Joseph E. Gonzalez', 'Trevor Darrell']","Abstract:  Many fine-grained classification tasks, like rare animal identification, have
limited training data and consequently classifiers trained on these datasets
often fail to generalize to variations in the domain like changes in weather or
location. As such, we explore how natural language descriptions of the domains
seen in training data can be used with large vision models trained on diverse
pretraining datasets to generate useful variations of the training data. We
introduce ALIA (Automated Language-guided Image Augmentation), a method which
utilizes large vision and language models to automatically generate natural
language descriptions of a dataset's domains and augment the training data via
language-guided image editing. To maintain data integrity, a model trained on
the original dataset filters out minimal image edits and those which corrupt
class-relevant information. The resulting dataset is visually consistent with
the original training data and offers significantly enhanced diversity. On
fine-grained and cluttered datasets for classification and detection, ALIA
surpasses traditional data augmentation and text-to-image generated data by up
to 15\%, often even outperforming equivalent additions of real data. Code is
avilable at this https URL.

    ",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16289
15,CENSUS-HWR: a large training dataset for offline handwriting recognition,"['Chetan Joshi', 'Lawry Sorenson', 'Ammon Wolfert', 'Dr. Mark Clement', 'Dr. Joseph Price', 'Dr. Kasey Buckles']","Abstract:  Progress in Automated Handwriting Recognition has been hampered by the lack
of large training datasets. Nearly all research uses a set of small datasets
that often cause models to overfit. We present CENSUS-HWR, a new dataset
consisting of full English handwritten words in 1,812,014 gray scale images. A
total of 1,865,134 handwritten texts from a vocabulary of 10,711 words in the
English language are present in this collection. This dataset is intended to
serve handwriting models as a benchmark for deep learning algorithms. This huge
English handwriting recognition dataset has been extracted from the US 1930 and
1940 censuses taken by approximately 70,000 enumerators each year. The dataset
and the trained model with their weights are freely available to download at
this https URL.

    ",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16275
16,Scaling Data-Constrained Language Models,"['Niklas Muennighoff', 'Alexander M. Rush', 'Boaz Barak', 'Teven Le Scao', 'Aleksandra Piktus', 'Nouamane Tazi', 'Sampo Pyysalo', 'Thomas Wolf', 'Colin Raffel']","Abstract:  The current trend of scaling language models involves increasing both
parameter count and training dataset size. Extrapolating this trend suggests
that training dataset size may soon be limited by the amount of text data
available on the internet. Motivated by this limit, we investigate scaling
language models in data-constrained regimes. Specifically, we run a large set
of experiments varying the extent of data repetition and compute budget,
ranging up to 900 billion training tokens and 9 billion parameter models. We
find that with constrained data for a fixed compute budget, training with up to
4 epochs of repeated data yields negligible changes to loss compared to having
unique data. However, with more repetition, the value of adding compute
eventually decays to zero. We propose and empirically validate a scaling law
for compute optimality that accounts for the decreasing value of repeated
tokens and excess parameters. Finally, we experiment with approaches mitigating
data scarcity, including augmenting the training dataset with code data or
removing commonly used filters. Models and datasets from our 400 training runs
are publicly available at this https URL.

    ",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/pdf/2305.16264
17,Unified Modeling of Multi-Talker Overlapped Speech Recognition and Diarization with a Sidecar Separator,"['Lingwei Meng', 'Jiawen Kang', 'Mingyu Cui', 'Haibin Wu', 'Xixin Wu', 'Helen Meng']","Abstract:  Multi-talker overlapped speech poses a significant challenge for speech
recognition and diarization. Recent research indicated that these two tasks are
inter-dependent and complementary, motivating us to explore a unified modeling
method to address them in the context of overlapped speech. A recent study
proposed a cost-effective method to convert a single-talker automatic speech
recognition (ASR) system into a multi-talker one, by inserting a Sidecar
separator into the frozen well-trained ASR model. Extending on this, we
incorporate a diarization branch into the Sidecar, allowing for unified
modeling of both ASR and diarization with a negligible overhead of only 768
parameters. The proposed method yields better ASR results compared to the
baseline on LibriMix and LibriSpeechMix datasets. Moreover, without
sophisticated customization on the diarization task, our method achieves
acceptable diarization results on the two-speaker subset of CALLHOME with only
a few adaptation steps.

    ",Sound (cs.SD); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG); Audio and Speech Processing (eess.AS),https://arxiv.org/pdf/2305.16263
18,Neural Natural Language Processing for Long Texts: A Survey of the State-of-the-Art,"['Dimitrios Tsirmpas', 'Ioannis Gkionis', 'Ioannis Mademlis']","Abstract:  The adoption of Deep Neural Networks (DNNs) has greatly benefited Natural
Language Processing (NLP) during the past decade. However, the demands of long
documents analysis are quite different from those of shorter texts, with the
ever increasing size of documents uploaded online rendering NLP on long
documents a critical area of research. This paper surveys the current
state-of-the-art in the domain, overviewing the relevant neural building blocks
and subsequently focusing on two main NLP tasks: Document Classification,
Summarization as well as mentioning uses in Sentiment Analysis. We detail the
challenges, issues and current solutions related to long-document NLP. We also
list publicly available, labelled, long-document datasets used in current
research.

    ",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16259
19,Fast Online Node Labeling for Very Large Graphs,"['Baojian Zhou', 'Yifan Sun', 'Reza Babanezhad']","Abstract:  This paper studies the online node classification problem under a
transductive learning setting. Current methods either invert a graph kernel
matrix with $\mathcal{O}(n^3)$ runtime and $\mathcal{O}(n^2)$ space complexity
or sample a large volume of random spanning trees, thus are difficult to scale
to large graphs. In this work, we propose an improvement based on the
\textit{online relaxation} technique introduced by a series of works (Rakhlin
et al.,2012; Rakhlin and Sridharan, 2015; 2017). We first prove an effective
regret $\mathcal{O}(\sqrt{n^{1+\gamma}})$ when suitable parameterized graph
kernels are chosen, then propose an approximate algorithm FastONL enjoying
$\mathcal{O}(k\sqrt{n^{1+\gamma}})$ regret based on this relaxation. The key of
FastONL is a \textit{generalized local push} method that effectively
approximates inverse matrix columns and applies to a series of popular kernels.
Furthermore, the per-prediction cost is
$\mathcal{O}(\text{vol}({\mathcal{S}})\log 1/\epsilon)$ locally dependent on
the graph with linear memory cost. Experiments show that our scalable method
enjoys a better tradeoff between local and global consistency.

    ",Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Spectral Theory (math.SP),https://arxiv.org/pdf/2305.16257
20,C-MCTS: Safe Planning with Monte Carlo Tree Search,"['Dinesh Parthasarathy', 'Georgios Kontes', 'Axel Plinge', 'Christopher Mutschler']","Abstract:  Many real-world decision-making tasks, such as safety-critical scenarios,
cannot be fully described in a single-objective setting using the Markov
Decision Process (MDP) framework, as they include hard constraints. These can
instead be modeled with additional cost functions within the Constrained Markov
Decision Process (CMDP) framework. Even though CMDPs have been extensively
studied in the Reinforcement Learning literature, little attention has been
given to sampling-based planning algorithms such as MCTS for solving them.
Previous approaches use Monte Carlo cost estimates to avoid constraint
violations. However, these suffer from high variance which results in
conservative performance with respect to costs. We propose Constrained MCTS
(C-MCTS), an algorithm that estimates cost using a safety critic. The safety
critic training is based on Temporal Difference learning in an offline phase
prior to agent deployment. This critic limits the exploration of the search
tree and removes unsafe trajectories within MCTS during deployment. C-MCTS
satisfies cost constraints but operates closer to the constraint boundary,
achieving higher rewards compared to previous work. As a nice byproduct, the
planner is more efficient requiring fewer planning steps. Most importantly, we
show that under model mismatch between the planner and the real world, our
approach is less susceptible to cost violations than previous work.

    ",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16209
21,On Computing Universal Plans for Partially Observable Multi-Agent Path Finding,"['Fengming Zhu', 'Fangzhen Lin']","Abstract:  Multi-agent routing problems have drawn significant attention nowadays due to
their broad industrial applications in, e.g., warehouse robots, logistics
automation, and traffic control. Conventionally, they are modelled as classical
planning problems. In this paper, we argue that it is beneficial to formulate
them as universal planning problems. We therefore propose universal plans, also
known as policies, as the solution concepts, and implement a system called
ASP-MAUPF (Answer Set Programming for Multi-Agent Universal Plan Finding) for
computing them. Given an arbitrary two-dimensional map and a profile of goals
for the agents, the system finds a feasible universal plan for each agent that
ensures no collision with others. We use the system to conduct some
experiments, and make some observations on the types of goal profiles and
environments that will have feasible policies, and how they may depend on
agents' sensors. We also demonstrate how users can customize action preferences
to compute more efficient policies, even (near-)optimal ones.

    ",Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16203
22,Optimization and Interpretability of Graph Attention Networks for Small Sparse Graph Structures in Automotive Applications,"['Marion Neumeier', 'Andreas Tollkühn', 'Sebastian Dorn', 'Michael Botsch', 'Wolfgang Utschick']","Abstract:  For automotive applications, the Graph Attention Network (GAT) is a
prominently used architecture to include relational information of a traffic
scenario during feature embedding. As shown in this work, however, one of the
most popular GAT realizations, namely GATv2, has potential pitfalls that hinder
an optimal parameter learning. Especially for small and sparse graph structures
a proper optimization is problematic. To surpass limitations, this work
proposes architectural modifications of GATv2. In controlled experiments, it is
shown that the proposed model adaptions improve prediction performance in a
node-level regression task and make it more robust to parameter initialization.
This work aims for a better understanding of the attention mechanism and
analyzes its interpretability of identifying causal importance.

    ",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16196
23,Abstractive Summary Generation for the Urdu Language,"['Ali Raza', 'Hadia Sultan Raja', 'Usman Maratib']","Abstract:  Abstractive summary generation is a challenging task that requires the model
to comprehend the source text and generate a concise and coherent summary that
captures the essential information. In this paper, we explore the use of an
encoder/decoder approach for abstractive summary generation in the Urdu
language. We employ a transformer-based model that utilizes self-attention
mechanisms to encode the input text and generate a summary. Our experiments
show that our model can produce summaries that are grammatically correct and
semantically meaningful. We evaluate our model on a publicly available dataset
and achieve state-of-the-art results in terms of Rouge scores. We also conduct
a qualitative analysis of our model's output to assess its effectiveness and
limitations. Our findings suggest that the encoder/decoder approach is a
promising method for abstractive summary generation in Urdu and can be extended
to other languages with suitable modifications.

    ",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16195
24,Explainability Techniques for Chemical Language Models,"['Stefan Hödl', 'William Robinson', 'Yoram Bachrach', 'Wilhelm Huck', 'Tal Kachman']","Abstract:  Explainability techniques are crucial in gaining insights into the reasons
behind the predictions of deep learning models, which have not yet been applied
to chemical language models. We propose an explainable AI technique that
attributes the importance of individual atoms towards the predictions made by
these models. Our method backpropagates the relevance information towards the
chemical input string and visualizes the importance of individual atoms. We
focus on self-attention Transformers operating on molecular string
representations and leverage a pretrained encoder for finetuning. We showcase
the method by predicting and visualizing solubility in water and organic
solvents. We achieve competitive model performance while obtaining
interpretable predictions, which we use to inspect the pretrained model.

    ",Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Chemical Physics (physics.chem-ph),https://arxiv.org/pdf/2305.16192
